jy,jm,factor,ic
1399,1,cr,0.6
1399,1,om12,0.942857142857143
1399,1,nm12,0.7142857142857143
1399,1,score_v1,-0.7714285714285715
1399,1,score_v2,-0.6571428571428573
1399,2,cr,0.6
1399,2,eq,0.7714285714285715
1399,2,score_v1,0.5428571428571429
1399,2,score_v2,0.5428571428571429
1399,3,cr,0.4285714285714286
1399,3,eq,0.4285714285714286
1399,3,score_v1,0.3714285714285715
1399,3,score_v2,0.3714285714285715
1399,4,cr,-0.08571428571428573
1399,4,eq,-0.028571428571428574
1399,4,score_v1,-0.3714285714285715
1399,4,score_v2,-0.2571428571428572
1399,5,cr,-0.5428571428571429
1399,5,om12,-0.5428571428571429
1399,5,score_v1,0.08571428571428573
1399,5,score_v2,-0.4285714285714286
1399,6,cr,0.7142857142857143
1399,6,om12,0.7142857142857143
1399,6,score_v1,0.5428571428571429
1399,6,score_v2,0.7714285714285715
1399,7,cr,0.5428571428571429
1399,7,om12,0.5428571428571429
1399,7,score_v1,0.6
1399,7,score_v2,0.6
1399,8,roe,0.36650833306891567
1399,8,lev,-0.1117839936159915
1399,8,cr,-0.5714285714285715
1399,8,cc,0.027945998403997876
1399,8,om12,-0.18325416653445784
1399,8,eq,0.0
1399,8,score_v1,-0.03571428571428572
1399,8,score_v2,-0.10714285714285716
1399,9,roe,0.686243566496721
1399,9,lev,0.10465116279069765
1399,9,cr,-0.4642857142857144
1399,9,cc,-0.8255813953488373
1399,9,om12,-0.8387421368293256
1399,9,eq,-0.1785714285714286
1399,9,score_v1,-0.6785714285714287
1399,9,score_v2,-0.6785714285714287
1399,10,roe,0.3142857142857143
1399,10,lev,0.3142857142857143
1399,10,cr,0.14285714285714288
1399,10,cc,-0.14285714285714288
1399,10,om12,-0.5428571428571429
1399,10,eq,-0.2
1399,10,score_v1,-0.7142857142857143
1399,10,score_v2,-0.7142857142857143
1399,11,roe,0.4285714285714286
1399,11,lev,0.3142857142857143
1399,11,cr,-0.14285714285714288
1399,11,cc,-0.5428571428571429
1399,11,om12,-0.6571428571428573
1399,11,nm12,0.2
1399,11,score_v1,-0.14285714285714288
1399,11,score_v2,0.14285714285714288
1399,12,roe,0.028571428571428574
1399,12,lev,0.028571428571428574
1399,12,cr,-0.08571428571428573
1399,12,cc,-0.028571428571428574
1399,12,om12,-0.2571428571428572
1399,12,nm12,-0.08571428571428573
1399,12,score_v1,0.3142857142857143
1399,12,score_v2,0.48571428571428577
1400,1,roe,0.6
1400,1,lev,-0.7714285714285715
1400,1,cr,0.7142857142857143
1400,1,cc,-0.028571428571428574
1400,1,om12,0.08571428571428573
1400,1,nm12,0.48571428571428577
1400,1,score_v1,0.2571428571428572
1400,1,score_v2,0.48571428571428577
1400,2,lev,-0.942857142857143
1400,2,cr,0.6571428571428573
1400,2,score_v1,0.3142857142857143
1400,2,score_v2,0.2571428571428572
1400,3,lev,-0.5357142857142858
1400,3,cr,0.8214285714285715
1400,3,eq,0.6
1400,3,score_v1,0.3214285714285715
1400,3,score_v2,0.3214285714285715
1400,4,lev,0.25
1400,4,cr,0.28571428571428575
1400,4,eq,-0.19999999999999998
1400,4,score_v1,0.8571428571428573
1400,4,score_v2,0.7142857142857144
1400,5,roe,0.1785714285714286
1400,5,lev,0.39285714285714296
1400,5,cr,-0.28571428571428575
1400,5,cc,0.3571428571428572
1400,5,pb,0.023073510088207072
1400,5,om12,-0.14285714285714288
1400,5,nm12,-0.1785714285714286
1400,5,eq,0.540289302477292
1400,5,score_v1,0.3214285714285715
1400,5,score_v2,0.3214285714285715
1400,6,roe,-0.04970958128009598
1400,6,lev,-0.6663448386649692
1400,6,cr,-0.3333333333333334
1400,6,cc,0.19047619047619052
1400,6,pb,-0.6912605575344282
1400,6,om12,-0.4523809523809524
1400,6,nm12,-0.6190476190476191
1400,6,ic,-0.7483314773547882
1400,6,eq,-0.1103354568734741
1400,6,score_v1,-0.6428571428571429
1400,6,score_v2,-0.5952380952380953
1400,7,roe,-0.24285714285714277
1400,7,lev,-0.4928953986413086
1400,7,cr,-0.7142857142857144
1400,7,cc,0.5714285714285715
1400,7,pb,-0.5390181263561927
1400,7,om12,-0.6904761904761906
1400,7,nm12,-0.7380952380952381
1400,7,ic,-0.7292928985449755
1400,7,eq,0.3796319714274158
1400,7,score_v1,-0.14285714285714288
1400,7,score_v2,-0.2380952380952381
1400,8,roe,0.4285714285714286
1400,8,lev,-0.14846149779161807
1400,8,cr,-0.4523809523809524
1400,8,cc,-0.45175395145262565
1400,8,pb,0.2999556311466922
1400,8,om12,0.29692299558323615
1400,8,nm12,0.632455532033676
1400,8,ic,-0.5504587797667139
1400,8,eq,0.1666666666666667
1400,8,score_v1,-0.19047619047619052
1400,8,score_v2,-0.1666666666666667
1400,9,roe,0.8907689867497083
1400,9,lev,0.014285714285714275
1400,9,cr,-0.30952380952380953
1400,9,cc,-0.8215838362577491
1400,9,pb,0.9142857142857141
1400,9,om12,0.24285714285714283
1400,9,nm12,0.8215838362577493
1400,9,ic,0.005794302944912775
1400,9,eq,-0.4285714285714286
1400,9,score_v1,0.2142857142857143
1400,9,score_v2,0.19047619047619052
1400,10,roe,0.4089727219004799
1400,10,lev,0.09941916256019201
1400,10,cr,-0.38095238095238104
1400,10,cc,-0.5105073560858459
1400,10,pb,0.6213697660011999
1400,10,om12,0.45981362684088806
1400,10,nm12,0.7487441222592406
1400,10,ic,-0.0666074863028795
1400,10,eq,-0.2142857142857143
1400,10,score_v1,0.523809523809524
1400,10,score_v2,0.28571428571428575
1400,11,roe,0.11904761904761905
1400,11,lev,0.07142857142857144
1400,11,cr,-0.28571428571428575
1400,11,cc,0.6666666666666669
1400,11,pb,-0.2380952380952381
1400,11,om12,0.04761904761904763
1400,11,nm12,0.2380952380952381
1400,11,ic,-0.15787724448766813
1400,11,eq,0.5107539184552491
1400,11,score_v1,0.523809523809524
1400,11,score_v2,0.5714285714285715
1400,12,roe,0.28571428571428575
1400,12,lev,0.4761904761904762
1400,12,cr,-0.523809523809524
1400,12,cc,0.6666666666666669
1400,12,pb,-0.3333333333333334
1400,12,om12,-0.523809523809524
1400,12,nm12,-0.04761904761904763
1400,12,ic,0.1805395361685297
1400,12,eq,0.2919254658385093
1400,12,score_v1,0.19047619047619052
1400,12,score_v2,0.19047619047619052
1401,1,roe,0.9523809523809524
1401,1,lev,0.880952380952381
1401,1,cr,-0.4761904761904762
1401,1,cc,0.3333333333333334
1401,1,pb,-0.14285714285714288
1401,1,om12,-0.6190476190476191
1401,1,nm12,-0.1666666666666667
1401,1,ic,0.4593340031782376
1401,1,eq,-0.10260323552092322
1401,1,score_v1,0.4761904761904762
1401,1,score_v2,0.6190476190476191
1401,2,lev,0.7619047619047621
1401,2,cr,-0.523809523809524
1401,2,ic,0.45714285714285713
1401,2,eq,-0.19047619047619052
1401,2,score_v1,0.6428571428571429
1401,2,score_v2,0.6428571428571429
1401,3,lev,0.261904761904762
1401,3,cr,-0.28571428571428575
1401,3,ic,0.24285714285714288
1401,3,eq,-0.261904761904762
1401,3,score_v1,0.6904761904761906
1401,3,score_v2,0.6904761904761906
1401,4,lev,-0.28571428571428575
1401,4,cr,-0.28571428571428575
1401,4,ic,0.31068488300059993
1401,4,eq,-0.3333333333333334
1401,4,score_v1,0.4047619047619048
1401,4,score_v2,0.3571428571428572
1401,5,roe,-0.9047619047619048
1401,5,lev,-0.7857142857142858
1401,5,cr,0.14285714285714288
1401,5,cc,0.19047619047619052
1401,5,pb,0.14285714285714288
1401,5,om12,-0.023809523809523815
1401,5,nm12,0.4285714285714286
1401,5,ic,0.0
1401,5,eq,0.1035779997526012
1401,5,score_v1,0.04761904761904763
1401,5,score_v2,0.04761904761904763
1401,6,roe,-0.9285714285714287
1401,6,lev,-0.8571428571428572
1401,6,cr,0.38095238095238104
1401,6,cc,0.38095238095238104
1401,6,pb,0.07142857142857144
1401,6,om12,0.09523809523809526
1401,6,nm12,0.5000000000000001
1401,6,ic,-0.11734292976977152
1401,6,eq,-0.17442550038556945
1401,6,score_v1,-0.28571428571428575
1401,6,score_v2,-0.28571428571428575
1401,7,roe,-0.6428571428571429
1401,7,lev,-0.523809523809524
1401,7,cr,0.3333333333333334
1401,7,cc,0.4285714285714286
1401,7,pb,0.14285714285714288
1401,7,om12,0.0
1401,7,nm12,0.4523809523809524
1401,7,ic,0.2439750182371333
1401,7,eq,-0.35911132432323123
1401,7,score_v1,-0.5000000000000001
1401,7,score_v2,-0.5000000000000001
1401,8,roe,0.3021138288034311
1401,8,lev,-0.4523809523809524
1401,8,cr,0.2142857142857143
1401,8,cc,0.3741010209153124
1401,8,pb,-5.92432485777294e-17
1401,8,om12,-0.19548541863751426
1401,8,nm12,-0.4192695134868112
1401,8,ic,0.8301396995150081
1401,8,eq,0.30952380952380953
1401,8,score_v1,-0.023809523809523815
1401,8,score_v2,0.023809523809523815
1401,9,roe,-0.16151457061744967
1401,9,lev,-0.8095238095238096
1401,9,cr,0.6190476190476191
1401,9,cc,0.2
1401,9,pb,-0.34641016151377546
1401,9,om12,-0.6229847723815916
1401,9,nm12,-0.6433331570970116
1401,9,ic,0.5468053940810561
1401,9,eq,0.6904761904761906
1401,9,score_v1,-0.4285714285714286
1401,9,score_v2,-0.38095238095238104
1401,10,roe,0.3534524796396793
1401,10,lev,-0.19047619047619052
1401,10,cr,0.2380952380952381
1401,10,cc,-0.2367736811002778
1401,10,pb,0.161556139160312
1401,10,om12,0.6547562327751435
1401,10,nm12,0.397676650240768
1401,10,ic,-0.2988071523335983
1401,10,eq,-0.07142857142857144
1401,10,score_v1,-0.1666666666666667
1401,10,score_v2,-0.1666666666666667
1401,11,roe,0.4047619047619048
1401,11,lev,-0.04761904761904763
1401,11,cr,0.4047619047619048
1401,11,cc,0.14285714285714288
1401,11,pb,0.0
1401,11,om12,0.6190476190476191
1401,11,nm12,0.0
1401,11,ic,-0.6035608621222174
1401,11,eq,0.261904761904762
1401,11,score_v1,-0.7619047619047621
1401,11,score_v2,-0.7142857142857144
1401,12,roe,0.7380952380952381
1401,12,lev,0.7619047619047621
1401,12,cr,-0.30952380952380953
1401,12,cc,-0.5714285714285715
1401,12,pb,-0.2380952380952381
1401,12,om12,-0.2380952380952381
1401,12,nm12,-0.6428571428571429
1401,12,ic,-0.2749025801469105
1401,12,eq,0.3571428571428572
1401,12,score_v1,-0.5952380952380953
1401,12,score_v2,-0.5952380952380953
1402,1,roe,0.6190476190476191
1402,1,lev,0.4285714285714286
1402,1,cr,-0.19047619047619052
1402,1,cc,-0.7142857142857144
1402,1,pb,0.14285714285714288
1402,1,om12,-0.4047619047619048
1402,1,nm12,0.0
1402,1,ic,0.07751505460868312
1402,1,eq,0.7380952380952381
1402,1,score_v1,-0.2380952380952381
1402,1,score_v2,-0.2142857142857143
1402,2,lev,0.07142857142857144
1402,2,cr,-0.30952380952380953
1402,2,ic,0.5095232081209841
1402,2,eq,0.3571428571428572
1402,2,score_v1,0.523809523809524
1402,2,score_v2,0.523809523809524
1402,3,lev,-0.14285714285714288
1402,3,cr,-0.11904761904761905
1402,3,ic,0.6433331570970116
1402,3,eq,0.38095238095238104
1402,3,score_v1,0.3571428571428572
1402,3,score_v2,0.3333333333333334
1402,4,lev,-0.5952380952380953
1402,4,cr,0.4047619047619048
1402,4,ic,0.5617574463871648
1402,4,eq,-0.4285714285714286
1402,4,score_v1,-0.4047619047619048
1402,4,score_v2,-0.19047619047619052
1402,5,roe,0.28571428571428575
1402,5,lev,0.023809523809523815
1402,5,cr,0.28571428571428575
1402,5,cc,0.14285714285714288
1402,5,pb,0.261904761904762
1402,5,om12,0.09523809523809526
1402,5,nm12,0.523809523809524
1402,5,ic,-0.03157544889753363
1402,5,eq,-0.6923371562410713
1402,5,score_v1,-0.4523809523809524
1402,5,score_v2,-0.4047619047619048
1402,6,roe,0.4285714285714286
1402,6,lev,-0.09523809523809526
1402,6,cr,0.09523809523809526
1402,6,cc,-0.4047619047619048
1402,6,pb,-0.2380952380952381
1402,6,om12,-0.14285714285714288
1402,6,nm12,0.04761904761904763
1402,6,ic,0.970221550257514
1402,6,eq,0.2235104205187711
1402,6,score_v1,-0.3571428571428572
1402,6,score_v2,-0.09523809523809526
1402,7,roe,-0.09523809523809526
1402,7,lev,-0.28571428571428575
1402,7,cr,0.6904761904761906
1402,7,cc,-0.2380952380952381
1402,7,pb,-0.30952380952380953
1402,7,om12,0.11904761904761905
1402,7,nm12,-0.38095238095238104
1402,7,ic,0.02417547385148619
1402,7,eq,0.49049287912090805
1402,7,score_v1,-0.5000000000000001
1402,7,score_v2,-0.5000000000000001
1402,8,roe,0.4252778433202684
1402,8,lev,-0.1666666666666667
1402,8,cr,-0.07142857142857144
1402,8,cc,0.1286131928826069
1402,8,pb,0.6941098188090026
1402,8,om12,0.06404031539506062
1402,8,nm12,0.3975316870916941
1402,8,ic,0.10482848367219183
1402,8,eq,-0.8571428571428572
1402,8,score_v1,0.11904761904761905
1402,8,score_v2,0.14285714285714288
1402,9,roe,0.1143462309509485
1402,9,lev,-0.09523809523809526
1402,9,cr,0.28571428571428575
1402,9,cc,0.902243638678106
1402,9,pb,-0.24688535993934704
1402,9,om12,0.7834548185980501
1402,9,nm12,0.3851039921187038
1402,9,ic,0.2481458334927326
1402,9,eq,-0.4285714285714286
1402,9,score_v1,0.4761904761904762
1402,9,score_v2,0.523809523809524
1402,10,roe,-0.1355261854357877
1402,10,lev,-0.38095238095238104
