jy,jm,h,n,bench,top10,top10_excess,top20,top20_excess
1399,12,3,45,-0.1429759470668081,-0.15514837158949168,-0.012172424522683578,-0.16653731586559584,-0.02356136879878773
1399,12,6,45,0.0329131540736934,0.05853494398872626,0.02562178991503286,0.04554770599806847,0.01263455192437507
1399,12,12,45,-0.11221524235767429,-0.14743352845278374,-0.03521828609510945,-0.10181322690917675,0.010402015448497531
1400,1,3,56,0.014919825205376007,-0.008140977605921685,-0.023060802811297694,-0.022196138758717832,-0.03711596396409384
1400,1,6,56,0.04007403621053631,0.015137527919335581,-0.02493650829120073,-0.0656999602103513,-0.10577399642088761
1400,1,12,56,0.049683657705326775,-0.04546901059417495,-0.09515266829950172,-0.10353912361492054,-0.1532227813202473
1400,2,3,63,0.18683169444715808,0.3410923676126204,0.15426067316546233,0.2647596314504084,0.07792793700325029
1400,2,6,63,0.06374162047119042,0.16240560193334472,0.0986639814621543,0.09802840441446911,0.03428678394327869
1400,2,12,63,0.2149659924843649,0.19672300313811078,-0.018242989346254124,0.22917274285716677,0.014206750372801863
1400,3,3,71,0.20365296116412335,0.27257857348555553,0.06892561232143218,0.2542110650537487,0.05055810388962534
1400,3,6,71,0.00999315617396524,0.016233566932672992,0.006240410758707753,-0.004811823448351671,-0.01480497962231691
1400,3,12,71,0.2156013109766835,0.19381733572775114,-0.021783975248932358,0.17448604417767746,-0.04111526679900604
1400,4,3,76,0.017651883511733614,-0.04684055671047784,-0.06449244022221146,-0.005435982299499603,-0.02308786581123322
1400,4,6,76,-0.15622405617844534,-0.2227766704459909,-0.06655261426754555,-0.19269114932477233,-0.036467093146326984
1400,4,12,76,0.014715191242717217,-0.1446899570643186,-0.1594051483070358,-0.03260741061237381,-0.047322601855091025
1400,5,3,84,-0.10324272643101465,-0.13718680072320458,-0.03394407429218993,-0.1278235469213143,-0.024580820490299665
1400,5,6,84,-0.25449759046980314,-0.2596525461299912,-0.0051549556601880875,-0.2530192958692307,0.0014782946005724162
1400,5,12,84,-0.07396544600973265,-0.13311851032815075,-0.0591530643184181,-0.13556131623409665,-0.061595870224364
1400,6,3,90,-0.15040745088680868,-0.1807287073642878,-0.03032125647747913,-0.12892197492441868,0.021485475962390005
1400,6,6,90,-0.13964383365503685,-0.13307056074886936,0.006573272906167493,-0.12187107096963663,0.01777276268540022
1400,6,12,90,-0.03609973458017168,-0.13526668450851426,-0.09916694992834257,-0.06708965107397269,-0.030989916493801006
1400,7,3,92,-0.14939574425348914,-0.05193984795948352,0.09745589629400563,-0.12893951062550874,0.020456233627980408
1400,7,6,92,0.042589330818286975,0.14942653437487582,0.10683720355658885,0.009276179044799493,-0.03331315177348748
1400,7,12,92,-0.02840124310992745,0.03988021737354667,0.06828146048347411,-0.08274386412901265,-0.0543426210190852
1400,8,3,97,-0.16022863059705947,-0.10072771160280754,0.05950091899425193,-0.11957484120237442,0.040653789394685044
1400,8,6,97,0.17134189883769926,0.18970461142128767,0.018362712583588403,0.22942699528437274,0.05808509644667348
1400,8,12,97,0.09200513905748839,0.06725933817815402,-0.024745800879334368,0.11425370377098396,0.022248564713495567
1400,9,3,108,0.013451598747422699,0.01327468960813456,-0.00017690913928813945,0.04325202709646174,0.02980042834903904
1400,9,6,108,0.2205937922608963,0.2138250240159016,-0.0067687682449946995,0.25373562546014145,0.03314183319924516
1400,9,12,108,0.32287157517907683,0.20712141169048506,-0.11575016348859177,0.2995680633204292,-0.023303511858647652
